hours,dH_curl,dH_roll
-629.0,-1.754673,-0.971306
-628.0,-1.747304,-0.992371
-627.0,-1.369034,-0.976854
-626.0,-0.730356,-0.945412
-625.0,-0.585320,-0.900601
-624.0,-0.478171,-0.833192
-623.0,-0.389682,-0.742356
-622.0,-0.325705,-0.649567
-621.0,-0.331282,-0.553079
-620.0,-0.434255,-0.472555
-619.0,-0.322603,-0.422463
-618.0,-0.439883,-0.380054
-617.0,-0.641207,-0.334127
-616.0,-0.589445,-0.287135
-615.0,-0.402750,-0.242942
-614.0,-0.129259,-0.206131
-613.0,-0.076408,-0.155080
-612.0,0.072960,-0.120139
-611.0,0.174212,-0.099943
-610.0,0.204612,-0.085179
-609.0,0.110456,-0.077790
-608.0,0.178352,-0.106179
-607.0,0.096688,-0.160766
-606.0,-0.197528,-0.220199
-605.0,-0.464036,-0.287802
-604.0,-0.500781,-0.364497
-603.0,-0.743414,-0.435408
-602.0,-0.784304,-0.496414
-601.0,-0.789601,-0.559107
-600.0,-0.738274,-0.608591
-599.0,-0.746130,-0.624214
-598.0,-0.646327,-0.610770
-597.0,-0.621618,-0.582694
-596.0,-0.573955,-0.530410
-595.0,-0.497126,-0.458604
-594.0,-0.385000,-0.380780
-593.0,-0.302704,-0.304229
-592.0,-0.163875,-0.224189
-591.0,-0.116004,-0.141331
-590.0,0.077365,-0.073932
-589.0,0.144287,-0.032487
-588.0,0.180342,-0.011622
-587.0,0.214349,-0.003022
-586.0,0.347971,-0.010495
-585.0,0.187162,-0.038981
-584.0,-0.076609,-0.074650
-583.0,-0.246749,-0.110579
-582.0,-0.281802,-0.137723
-581.0,-0.392374,-0.159746
-580.0,-0.505712,-0.194318
-579.0,-0.544031,-0.238405
-578.0,-0.353780,-0.247490
-577.0,-0.181444,-0.230420
-576.0,-0.083934,-0.191440
-575.0,-0.200516,-0.138655
-574.0,-0.181074,-0.079608
-573.0,0.078144,-0.083193
-572.0,0.128226,-0.084148
-571.0,0.221013,-0.083907
-570.0,0.351627,-0.093961
-569.0,0.316185,-0.118512
-568.0,-0.548726,-0.131377
-567.0,-0.555495,-0.149680
-566.0,-0.350890,-0.188933
-565.0,-0.302087,-0.245944
-564.0,-0.378545,-0.319015
-563.0,-0.354900,-0.400826
-562.0,-0.400716,-0.460585
-561.0,-0.392887,-0.424563
-560.0,-0.555910,-0.396431
-559.0,-0.655831,-0.386755
-558.0,-0.630110,-0.393619
-557.0,-0.400928,-0.433308
-556.0,-0.116460,-0.466465
-555.0,-0.217914,-0.497522
-554.0,-0.234772,-0.525847
-553.0,-0.384457,-0.528487
-168.0,-0.854811,-0.540741
-167.0,-0.752786,-0.571243
-166.0,-0.773401,-0.629666
-165.0,-0.732783,-0.720766
-164.0,-0.587586,-0.790507
-163.0,-0.802885,-0.832210
-162.0,-0.996134,-0.866498
-161.0,-1.102003,-0.851464
-160.0,-1.209659,-0.840246
-159.0,-1.054811,-0.811119
-158.0,-0.735200,-0.770408
-157.0,-0.795923,-0.718858
-156.0,-0.674402,-0.649941
-155.0,-0.618165,-0.567711
-154.0,-0.423879,-0.477093
