hours,dH_curl,dH_roll
40.0,-3.725590,-3.984734
41.0,-4.092024,-3.964042
42.0,-4.105316,-3.992479
43.0,-4.096626,-4.085595
44.0,-4.451158,-4.217269
45.0,-4.273775,-4.378441
46.0,-4.390247,-4.547452
47.0,-4.577635,-4.686581
48.0,-4.811420,-4.819886
49.0,-5.156538,-4.938842
50.0,-5.452663,-5.045754
51.0,-5.436429,-5.109565
52.0,-5.395146,-5.187279
53.0,-5.691673,-5.270161
54.0,-5.532799,-5.339562
55.0,-5.379568,-5.400292
56.0,-5.216885,-5.448090
57.0,-5.206350,-5.476619
58.0,-5.384832,-5.488989
59.0,-5.410435,-5.534108
60.0,-5.540182,-5.561156
61.0,-5.730118,-5.604978
62.0,-5.795009,-5.681593
63.0,-5.584871,-5.757879
64.0,-5.936577,-5.795166
65.0,-6.016245,-5.804207
66.0,-6.058661,-5.838434
67.0,-6.298955,-5.866401
68.0,-6.132318,-5.866365
69.0,-5.653786,-5.841821
70.0,-5.493323,-5.818106
71.0,-5.821160,-5.826245
72.0,-5.875783,-5.831462
73.0,-5.729697,-5.855831
74.0,-5.500475,-5.850844
75.0,-5.300292,-5.855800
76.0,-6.034245,-5.868908
77.0,-6.078848,-5.918234
78.0,-6.351095,-5.984687
79.0,-6.239100,-6.068331
80.0,-6.191794,-6.162424
81.0,-5.811083,-6.303891
82.0,-6.085232,-6.495216
83.0,-6.618604,-6.588300
84.0,-6.879502,-6.772164
85.0,-6.858815,-6.905851
86.0,-7.198078,-7.045848
87.0,-7.596192,-7.188352
88.0,-7.151263,-7.378972
89.0,-8.285205,-7.566478
90.0,-7.955341,-7.708641
91.0,-7.919069,-7.874384
92.0,-7.901838,-8.069906
93.0,-8.098527,-8.211935
94.0,-8.335298,-8.303333
95.0,-8.324568,-8.512885
96.0,-8.868419,-8.589383
97.0,-9.205076,-8.696948
98.0,-8.902419,-8.816204
99.0,-8.692973,-8.936137
100.0,-9.665886,-9.065627
101.0,-9.203182,-9.181693
102.0,-9.246122,-9.278021
103.0,-9.350144,-9.322650
104.0,-9.341027,-9.373800
105.0,-9.652407,-9.463025
106.0,-9.728089,-9.571880
107.0,-9.480513,-9.563972
108.0,-9.403966,-9.604648
109.0,-9.818873,-9.635659
110.0,-9.973116,-9.641725
111.0,-9.999233,-9.608754
112.0,-9.570988,-9.530023
113.0,-9.691296,-9.459610
114.0,-9.618256,-9.435403
115.0,-9.422933,-9.429197
116.0,-8.945380,-9.385335
117.0,-8.707630,-9.304120
118.0,-8.883141,-9.227635
119.0,-9.190026,-9.175096
120.0,-9.329492,-9.152832
121.0,-9.292533,-9.117082
122.0,-8.998535,-9.049911
123.0,-9.081406,-9.014447
124.0,-8.940531,-8.935634
125.0,-9.424124,-8.812697
126.0,-9.189252,-8.634904
127.0,-8.616886,-8.429831
128.0,-8.519811,-8.201671
129.0,-7.761866,-8.000333
130.0,-7.407897,-7.784736
131.0,-7.056519,-7.516904
132.0,-6.868607,-7.244429
133.0,-6.554621,-6.956067
134.0,-6.582471,-6.710169
135.0,-6.494252,-6.457958
136.0,-5.726546,-6.248650
137.0,-6.154417,-6.065600
138.0,-5.728909,-5.917461
139.0,-5.666113,-5.844464
140.0,-5.493278,-5.872910
141.0,-5.250168,-5.859167
142.0,-5.211303,-5.727040
143.0,-5.278849,-5.474577
144.0,-5.992638,-5.061822
145.0,-6.895981,-4.662307
146.0,-6.417552,-4.225433
147.0,-4.908731,-3.797218
148.0,-2.696992,-3.383078
149.0,-1.201348,-2.992739
150.0,-0.934736,-2.572341
151.0,-0.423616,-2.106326
152.0,-0.354699,-1.572377
153.0,-0.280493,-1.076102
154.0,-0.527239,-0.665336
155.0,-0.234065,-0.437344
156.0,-0.400462,-0.330469
157.0,-0.488589,-0.247941
158.0,-0.462257,-0.205994
159.0,0.020467,-0.162374
160.0,0.038909,-0.120146
161.0,0.081151,-0.054375
162.0,0.055601,-0.013391
163.0,0.079749,0.041016
164.0,0.168745,0.098008
165.0,0.226234,0.149765
166.0,0.262018,0.136897
167.0,0.257738,0.112948
168.0,0.252423,0.088259
169.0,0.195319,0.070192
170.0,0.158824,0.050809
171.0,-0.133947,0.026392
172.0,-0.248476,0.004771
173.0,-0.215125,-0.021755
174.0,-0.161195,-0.044515
175.0,-0.152855,-0.064277
176.0,-0.124251,-0.075076
177.0,-0.033226,-0.080445
178.0,-0.056292,-0.059128
179.0,-0.015381,-0.025427
180.0,0.015286,0.005894
181.0,0.065721,0.019327
182.0,0.094400,0.032065
183.0,0.121858,0.042419
184.0,0.155941,0.045188
185.0,0.160722,0.049879
