hours,dH_curl,dH_roll
-25.0,-0.949055,-1.110933
-24.0,-0.860952,-1.019854
-23.0,-0.782217,-0.889569
-22.0,-0.820257,-0.781080
-21.0,-0.803911,-0.688331
-20.0,-0.724563,-0.607286
-19.0,-0.735842,-0.520769
-18.0,-0.161233,-0.444959
-17.0,-0.179257,-0.397677
-16.0,-0.169713,-0.379952
-15.0,-0.112204,-0.330579
-14.0,0.049978,-0.241693
-13.0,-0.039336,-0.183162
-12.0,-0.293570,-0.162887
-11.0,-0.569514,-0.166384
-10.0,-0.227787,-0.172828
-9.0,0.262730,-0.105761
-8.0,-0.022189,-0.103389
-7.0,-0.492544,-0.021488
-6.0,-0.203195,0.024595
-5.0,-0.256587,0.070345
-4.0,0.635092,0.128888
-3.0,-0.083745,0.176596
-2.0,1.032791,0.173884
-1.0,0.513656,0.164821
0.0,0.255429,0.201826
1.0,0.133005,0.191316
2.0,0.344711,0.184589
3.0,0.230191,0.104453
4.0,-0.130944,-0.154161
5.0,-0.048493,-0.277110
6.0,-0.329307,-0.353188
7.0,-0.337316,-0.400713
8.0,-0.326544,-0.450809
9.0,-3.187115,-0.524566
10.0,-0.442588,-0.605543
11.0,-0.399287,-0.655004
12.0,-0.314870,-0.707299
13.0,-0.468141,-0.736654
14.0,-0.540382,-0.764169
15.0,-0.741529,-0.789715
16.0,-0.724474,-0.571288
17.0,-0.676036,-0.543181
18.0,-0.681560,-0.522973
19.0,-0.667505,-0.544128
20.0,-0.633090,-0.586548
21.0,-0.566000,-0.641374
22.0,-0.105293,-0.689462
23.0,-0.156795,-0.724384
24.0,-0.568729,-0.741822
25.0,-0.977181,-0.722587
26.0,-1.198296,-0.710788
27.0,-1.318584,-0.741911
28.0,-1.143538,-0.794747
29.0,-0.885293,-0.891240
30.0,-0.450740,-0.955147
31.0,-0.525915,-0.971416
32.0,-1.006570,-0.971920
33.0,-1.200033,-0.956501
34.0,-1.263201,-0.903674
35.0,-0.923678,-0.844524
36.0,-0.763969,-0.795013
37.0,-0.983218,-0.774801
38.0,-1.013267,-0.751802
39.0,-0.684668,-0.688189
40.0,-0.433743,-0.612754
41.0,-0.291160,-0.509708
42.0,-0.208193,-0.440592
43.0,-0.249922,-0.398135
44.0,-0.243219,-0.315925
45.0,-0.294814,-0.247481
46.0,-0.026640,-0.218465
47.0,-0.094294,-0.217561
48.0,-0.254480,-0.227466
49.0,0.003303,-0.247532
50.0,-0.191937,-0.277919
51.0,-0.336481,-0.344569
52.0,-0.422892,-0.474241
53.0,-0.410018,-0.634193
54.0,-0.448988,-0.835299
55.0,-0.614572,-1.068303
56.0,-1.043012,-1.329532
57.0,-1.850875,-1.566026
58.0,-1.946075,-1.764916
59.0,-2.507559,-1.903729
60.0,-3.050533,-2.001140
61.0,-3.131438,-2.067689
62.0,-3.029864,-2.107900
63.0,-2.723164,-2.105521
64.0,-2.088652,-2.029331
65.0,-1.578943,-1.924700
66.0,-1.247582,-1.768016
67.0,-1.097100,-1.563300
68.0,-1.014468,-1.360749
69.0,-0.936594,-1.163892
70.0,-0.690508,-0.991835
71.0,-0.627341,-0.868285
72.0,-0.593939,-0.795432
73.0,-0.700827,-0.757483
74.0,-0.667580,-0.734789
75.0,-0.658486,-0.715779
76.0,-0.606053,-0.702421
77.0,-0.704701,-0.713453
78.0,-0.792203,-0.739727
79.0,-0.824767,-0.803707
80.0,-0.786350,-0.894294
81.0,-0.776298,-1.000655
82.0,-0.822894,-1.119293
83.0,-0.942619,-1.240719
84.0,-1.361704,-1.337854
85.0,-1.787877,-1.406300
86.0,-1.943905,-1.443163
87.0,-2.082144,-1.481255
88.0,-2.063162,-1.519299
89.0,-1.870328,-1.532564
90.0,-1.613553,-1.516601
91.0,-1.267127,-1.443700
92.0,-1.243450,-1.322822
93.0,-1.232823,-1.188312
94.0,-0.982071,-1.033837
95.0,-0.751063,-0.870817
96.0,-0.486901,-0.691907
97.0,-0.337341,-0.532501
98.0,-0.329779,-0.441018
99.0,-0.228442,-0.348922
100.0,-0.106920,-0.253746
101.0,0.276592,-0.152567
102.0,0.299310,-0.091699
103.0,-0.169333,-0.055491
104.0,-0.138295,-0.031030
105.0,-0.090714,-0.020187
106.0,0.232085,-0.017220
107.0,-0.020644,-0.010589
108.0,-0.052414,-0.006394
109.0,-0.043805,0.007386
110.0,-0.199667,0.047659
111.0,-0.192830,0.073129
112.0,-0.027357,0.078983
113.0,0.326936,0.050147
114.0,0.464669,0.040109
