hours,dH_curl,dH_roll
-95.0,-0.829748,-0.656487
-94.0,-0.999185,-0.757188
-93.0,-0.944518,-0.863694
-92.0,-0.729279,-0.944869
-91.0,-0.983338,-1.025433
-90.0,-1.264799,-1.093711
-89.0,-1.428383,-1.139206
-88.0,-1.526368,-1.132368
-87.0,-1.284828,-1.093750
-86.0,-1.340313,-1.054063
-85.0,-1.254361,-1.030330
-84.0,-1.085349,-1.008258
-83.0,-0.747694,-1.006698
-82.0,-0.535769,-1.028696
-81.0,-0.468276,-1.048058
-80.0,-0.444480,-1.085798
-79.0,-0.718471,-1.098812
-78.0,-1.246082,-1.098278
-77.0,-1.692361,-1.105703
-76.0,-1.758714,-1.150111
-75.0,-1.737700,-1.189815
-74.0,-1.496490,-1.248750
-73.0,-1.247951,-1.298503
-72.0,-1.174442,-1.364820
-71.0,-1.280599,-1.404265
-70.0,-1.012217,-1.385873
-69.0,-1.175495,-1.374587
-68.0,-1.041519,-1.368510
-67.0,-1.514267,-1.377566
-66.0,-1.719429,-1.404174
-65.0,-1.471652,-1.425483
-64.0,-1.623279,-1.435404
-63.0,-1.664775,-1.466959
-62.0,-1.605171,-1.470904
-61.0,-1.567238,-1.439341
-60.0,-1.430153,-1.381371
-59.0,-1.399658,-1.320210
-58.0,-1.390869,-1.288717
-57.0,-1.222840,-1.240794
-56.0,-0.662756,-1.180527
-55.0,-0.818633,-1.122014
-54.0,-0.985500,-1.076338
-53.0,-1.093729,-1.062079
-52.0,-1.048212,-1.065604
-51.0,-0.941565,-1.065449
-50.0,-0.903011,-1.076947
-49.0,-1.019133,-1.211691
-48.0,-1.259047,-1.314501
-47.0,-1.441949,-1.450721
-46.0,-1.389018,-1.486534
-45.0,-1.360809,-1.416814
-44.0,-2.279685,-1.367323
-43.0,-2.052350,-1.311662
-42.0,-2.620145,-1.249798
-41.0,-1.523480,-1.132630
-40.0,-0.211571,-1.005073
-39.0,-0.347674,-0.979882
-38.0,-0.235080,-0.973677
-37.0,-0.276773,-0.879764
-36.0,0.146973,-0.764870
-35.0,0.088741,-0.614186
-34.0,-1.086731,-0.565755
-33.0,-1.286344,-0.634678
-32.0,-1.152733,-0.690979
-31.0,-0.673620,-0.757362
-30.0,-0.811944,-0.804289
-29.0,-0.942308,-0.883002
-28.0,-1.038650,-0.959311
-27.0,-1.023283,-0.944758
-26.0,-1.031670,-0.920578
-25.0,-0.839898,-0.901868
-24.0,-0.797582,-0.926783
-23.0,-0.826973,-0.944497
-22.0,-0.912088,-0.957746
-21.0,-0.996184,-0.975571
-20.0,-0.928222,-1.002420
-19.0,-0.972595,-0.954153
-18.0,-1.024515,-0.949052
-17.0,-1.101292,-0.991408
-16.0,-1.252549,-1.062835
-15.0,-1.345469,-1.110921
-14.0,-0.452471,-1.025968
-13.0,-0.778679,-0.916041
-12.0,-1.305864,-0.795335
-11.0,-1.684098,-0.697590
-10.0,-1.489110,-0.607067
-9.0,0.023250,-0.636810
-8.0,0.390901,-0.770508
-7.0,0.475882,-1.078408
-6.0,0.148415,-1.461579
-5.0,-0.015015,-1.878716
-4.0,-1.609458,-2.279237
-3.0,-2.949846,-2.683237
-2.0,-4.147269,-3.151721
-1.0,-5.376740,-3.521067
0.0,-6.311504,-3.863011
1.0,-6.490348,-4.169657
2.0,-6.337108,-4.283683
3.0,-5.598563,-4.248535
4.0,-4.041247,-4.114694
5.0,-3.627444,-3.888236
6.0,-3.531340,-3.546305
7.0,-1.383323,-3.120246
8.0,-1.187684,-2.659545
9.0,-1.343759,-2.200685
10.0,-1.429773,-1.784116
11.0,-1.273565,-1.692889
12.0,-1.198802,-1.642963
13.0,-0.961937,-1.612984
14.0,-0.830779,-1.767796
15.0,-0.599743,-1.953586
16.0,-2.946518,-2.152879
17.0,-3.028329,-2.356906
18.0,-3.171595,-2.577206
19.0,-3.241065,-2.817927
20.0,-3.417172,-3.090517
21.0,-3.735274,-3.374723
22.0,-3.878094,-3.673983
23.0,-3.917165,-3.758851
24.0,-4.087446,-3.864086
25.0,-4.233028,-3.992548
26.0,-4.241242,-4.158834
27.0,-4.190862,-4.321016
28.0,-3.964942,-4.463855
29.0,-4.291142,-4.610703
30.0,-4.713142,-4.762044
31.0,-5.236501,-4.862556
32.0,-5.363356,-4.916473
33.0,-5.449338,-4.955646
34.0,-5.640277,-4.978839
35.0,-5.733257,-4.993577
36.0,-5.293585,-4.979006
37.0,-4.880032,-4.960696
38.0,-4.711314,-4.895242
39.0,-4.469182,-4.814862
40.0,-4.141800,-4.725290
41.0,-4.116289,-4.640094
42.0,-4.493420,-4.544662
43.0,-4.451051,-4.477629
44.0,-4.398796,-4.465555
45.0,-4.374472,-4.470161
46.0,-4.617928,-4.494302
47.0,-4.588068,-4.557219
48.0,-4.489197,-4.624407
49.0,-4.735146,-4.687383
50.0,-4.766587,-4.735296
51.0,-4.758865,-4.758541
52.0,-4.896814,-4.801735
53.0,-4.922543,-4.793502
54.0,-5.249133,-4.806419
55.0,-5.025999,-4.854007
56.0,-4.677736,-4.882432
57.0,-4.892805,-4.897324
58.0,-4.519126,-4.880659
59.0,-4.743073,-4.819791
60.0,-5.060254,-4.760495
61.0,-5.076251,-4.660888
62.0,-4.945292,-4.525521
63.0,-4.558881,-4.386688
64.0,-4.166401,-4.221966
65.0,-4.210994,-4.082189
66.0,-4.053844,-3.890277
67.0,-3.401597,-3.618849
68.0,-3.011742,-3.329015
69.0,-2.916139,-3.034623
70.0,-2.841801,-2.761021
71.0,-2.440126,-2.530804
72.0,-1.803126,-2.294531
73.0,-1.598233,-2.109662
74.0,-1.412599,-1.983284
75.0,-1.275648,-1.881276
76.0,-1.403801,-1.790183
77.0,-1.375713,-1.712729
78.0,-1.835416,-1.666249
79.0,-1.885065,-1.660904
80.0,-1.787644,-1.658382
81.0,-1.823025,-1.678933
82.0,-1.912344,-1.725523
83.0,-1.882368,-1.744686
84.0,-1.738984,-1.767982
85.0,-1.567970,-1.768391
86.0,-1.659215,-1.726925
87.0,-1.834733,-1.662562
88.0,-1.633757,-1.566724
89.0,-1.655256,-1.438629
90.0,-1.840328,-1.293583
91.0,-1.387469,-1.152445
92.0,-1.015288,-1.020929
93.0,-0.672968,-0.884298
94.0,-0.375216,-0.735550
95.0,-0.141808,-0.592709
96.0,-0.045330,-0.442491
97.0,0.010221,-0.272869
98.0,-0.019644,-0.176579
99.0,-0.049754,-0.125520
100.0,0.080332,-0.108097
101.0,0.147359,-0.115433
102.0,0.195140,-0.136920
103.0,-0.231987,-0.129702
104.0,-0.402586,-0.174139
105.0,-0.463894,-0.244000
106.0,-0.463246,-0.327882
107.0,-0.399656,-0.413610
108.0,0.041285,-0.505931
109.0,-0.523021,-0.620205
110.0,-0.857977,-0.708969
111.0,-1.056334,-0.781333
112.0,-0.948400,-0.856613
113.0,-0.960491,-0.931257
114.0,-1.176154,-1.010814
115.0,-1.297154,-1.128926
116.0,-1.270956,-1.192786
117.0,-1.367252,-1.190687
118.0,-1.358969,-1.161886
119.0,-1.354344,-1.101735
120.0,-1.376063,-1.038378
121.0,-1.289335,-0.970758
122.0,-0.832791,-0.901055
123.0,-0.710725,-0.840284
124.0,-0.226584,-0.760505
125.0,-0.200205,-0.678753
126.0,-0.364718,-0.600485
127.0,-0.460713,-0.514050
128.0,-0.541706,-0.425452
129.0,-0.409910,-0.358607
130.0,-0.377938,-0.275694
131.0,-0.415131,-0.230432
132.0,-0.338842,-0.166530
133.0,-0.226165,-0.101775
134.0,-0.030643,-0.038971
135.0,0.284225,0.026190
136.0,0.316566,0.071272
137.0,0.566616,0.097721
138.0,0.412339,0.080485
